                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.87867,                0.70843,                 1.0953,                0.94842,                0.94371,                 0.9744,                0.65826,                 1.1677,                0.61588,                 1.2722,             0.00070502,             0.00070502,             0.00070502
                     71,                0.86659,                0.71409,                 1.0769,                0.93538,                0.94647,                0.97381,                0.66909,                 1.1416,                0.59753,                 1.2954,             0.00070202,             0.00070202,             0.00070202
                     72,                0.88351,                0.73954,                 1.0996,                0.93886,                0.90991,                0.96187,                0.71248,                 1.0495,                0.58688,                 1.2387,             0.00069902,             0.00069902,             0.00069902
                     73,                 0.8615,                0.72428,                 1.0913,                0.94542,                0.93601,                0.97391,                0.69168,                 1.0671,                0.56323,                 1.3068,             0.00069602,             0.00069602,             0.00069602
                     74,                0.84437,                0.68032,                 1.0774,                 0.9264,                0.82026,                  0.898,                 0.5869,                 1.2265,                0.75331,                 1.3768,             0.00069302,             0.00069302,             0.00069302
                     75,                0.87157,                0.71071,                 1.0937,                0.86725,                0.81183,                0.90658,                0.61752,                  1.139,                0.86084,                 1.2929,             0.00069002,             0.00069002,             0.00069002
                     76,                0.84487,                 0.6816,                 1.0732,                0.95871,                0.96016,                0.96831,                0.68163,                 1.1244,                0.64678,                 1.2804,             0.00068702,             0.00068702,             0.00068702
                     77,                0.85571,                0.72069,                 1.0777,                0.94535,                0.91988,                0.95855,                0.64744,                 1.1736,                0.61111,                 1.2836,             0.00068402,             0.00068402,             0.00068402
                     78,                0.82256,                0.68009,                 1.0708,                 0.9414,                 0.9396,                0.96087,                0.65614,                 1.1995,                0.56982,                 1.3526,             0.00068102,             0.00068102,             0.00068102
                     79,                0.82959,                0.70048,                 1.0865,                0.92768,                0.94406,                0.96468,                0.67818,                  1.087,                0.56101,                 1.3272,             0.00067802,             0.00067802,             0.00067802
                     80,                0.85287,                0.67738,                 1.0834,                0.95767,                0.94384,                0.97018,                0.66616,                 1.1788,                0.54821,                 1.3517,             0.00067502,             0.00067502,             0.00067502
                     81,                0.82159,                0.66674,                 1.0766,                0.97566,                0.94397,                0.98241,                0.68679,                  1.169,                0.55951,                 1.3147,             0.00067202,             0.00067202,             0.00067202
                     82,                0.81283,                0.62776,                 1.0421,                0.95822,                0.94039,                0.95829,                0.70342,                 1.0722,                0.54509,                 1.2562,             0.00066902,             0.00066902,             0.00066902
                     83,                0.83088,                0.64576,                 1.0541,                0.93622,                0.92879,                 0.9767,                 0.6881,                 1.0893,                0.53591,                 1.3082,             0.00066602,             0.00066602,             0.00066602
                     84,                 0.8102,                0.64317,                 1.0567,                0.94883,                0.95396,                0.96995,                0.66341,                 1.1284,                0.56994,                 1.3185,             0.00066302,             0.00066302,             0.00066302
                     85,                0.79982,                0.63184,                 1.0481,                0.95785,                0.95759,                0.98086,                0.67781,                 1.0717,                0.54494,                 1.2686,             0.00066002,             0.00066002,             0.00066002
                     86,                0.79561,                0.61224,                 1.0458,                0.95052,                0.90666,                0.94711,                0.67983,                 1.0449,                0.54955,                 1.2494,             0.00065703,             0.00065703,             0.00065703
